flag,t090C,c0S/m,prdM,timeM
0,-1.7521338584829777,2.458327757362966,1.2164170113754677,430
0,-1.7517863788945078,2.4613535278004512,1.2168533632234595,435
0,-1.7578316345258713,2.4576464094533086,1.2164170113754677,440
0,-1.7597420988166163,2.4595049161745432,1.2168533632234595,445
0,-1.7563031274099785,2.4600315555713363,1.2137562941934363,450
0,-1.7578316345258713,2.4616479569434024,1.2106592251495611,455
0,-1.7548787281182285,2.4590195601532842,1.2199504322396381,460
0,-1.7547050137214341,2.459349987070331,1.2199504322396381,465
0,-1.7538364183683938,2.4613018954896524,1.2106592251495611,470
0,-1.7589779357122665,2.459990266986248,1.2168533632234595,475
0,-1.7561641662363172,2.4608577755428475,1.207125803297202,480
0,-1.7576232088397318,2.460062545130675,1.2075621560918388,485
0,-1.7584568981282586,2.4620714902193934,1.2199504322396381,490
0,-1.7544965543889361,2.4634351873084683,1.2137562941934363,495
0,-1.7569631793705866,2.4620973051313184,1.2199504322396381,500
0,-1.7585958428544472,2.4605840980255045,1.2168533632234595,505
0,-1.755677794277915,2.463450694985475,1.2168533632234595,510
0,-1.7578316345258713,2.4605221234097674,1.2106592251495611,515
0,-1.755608311572587,2.462773958121208,1.2040287339100845,520
0,-1.7614092591335861,2.4626035370888237,1.2106592251495611,525
0,-1.7531415140410331,2.465383091853439,1.2137562941934363,530
0,-1.7534889693209265,2.46542960378406,1.2168533632234595,535
0,-1.758873729316747,2.4581419650334037,1.2137562941934363,540
0,-1.753211005595631,2.464359980056073,1.2106592251495611,545
0,-1.755608311572587,2.464070660113466,1.2106592251495611,550
0,-1.7566157864055185,2.4603207221666077,1.204465087020267,555
0,-1.7499446330030537,2.4634764838968834,1.2137562941934363,560
0,-1.7485545201420791,2.4593034726079263,1.2075621560918388,565
0,-1.7509871521847912,2.4603878121933564,1.2075621560918388,570
0,-1.740698507836271,2.4610125939079186,1.2137562941934363,575
0,-1.7356912448356638,2.462505210263658,1.2195140807071898,580
0,-1.7344392268284423,2.4638018471082934,1.2040287339100845,585
0,-1.7274125134569544,2.4604289539031807,1.2075621560918388,590
0,-1.7282127133700555,2.4600674997694223,1.2164170113754677,595
0,-1.727447305444798,2.4602172375703373,1.2040287339100845,600
0,-1.7297086506399637,2.4567687596191225,1.207125803297202,605
0,-1.7290824583974426,2.458978071893592,1.2164170113754677,610
0,-1.724768139538412,2.459752502341775,1.2164170113754677,615
0,-1.7345783439363913,2.457692698921855,1.2164170113754677,620
0,-1.7298130140459306,2.457140370098629,1.2040287339100845,625
0,-1.7211837408249834,2.460599320669129,1.2133199420298963,630
0,-1.722854222738988,2.461890456953256,1.2164170113754677,635
0,-1.7236546109479604,2.4624379726141176,1.2164170113754677,640
0,-1.7289085125157157,2.4629958964099474,1.2195140807071898,645
0,-1.7267166605778925,2.4590503342787193,1.2164170113754677,650
0,-1.722854222738988,2.459690528471852,1.2164170113754677,655
0,-1.715684053598011,2.4599331574312666,1.2164170113754677,660
0,-1.7158581182557668,2.459917667558147,1.2137562941934363,665
0,-1.7250813079231193,2.460212059790631,1.2164170113754677,670
0,-1.7195827271538632,2.460459882405157,1.2133199420298963,675
0,-1.7157884925802591,2.45969047704701,1.2133199420298963,680
0,-1.7204180551412378,2.4611312293086547,1.2164170113754677,685
0,-1.7169024733624382,2.4598298975935573,1.2195140807071898,690
0,-1.7131425314888702,2.4619936876114505,1.2164170113754677,695
0,-1.7173898198140023,2.4607077399048607,1.2195140807071898,700
0,-1.7224714166888475,2.4622778395949036,1.2199504322396381,705
0,-1.725881604129711,2.460501239683698,1.2164170113754677,710
0,-1.7330480007997835,2.459964261668431,1.2102228726704751,715
0,-1.7244549660913435,2.4574861561975254,1.2133199420298963,720
0,-1.7303000358400595,2.462190086632931,1.2195140807071898,725
0,-1.7302304620477002,2.4600210435139304,1.2230475012419623,730
0,-1.733187127898816,2.456794593088428,1.2195140807071898,735
0,-1.7348565751551632,2.462887457254898,1.2168533632234595,740
0,-1.7367693066162814,2.463507386352044,1.2137562941934363,745
0,-1.7361433425640484,2.461353414026027,1.2106592251495611,750
0,-1.7364563271185034,2.4660496252311317,1.2075621560918388,755
0,-1.7387513926852307,2.465341649019879,1.2199504322396381,760
0,-1.7413243247160608,2.4618079503894754,1.2164170113754677,765
0,-1.7366302052415676,2.460206980415954,1.2226111500250647,770
0,-1.7414286255637421,2.4606356156885076,1.2199504322396381,775
0,-1.7362476713107071,2.462381243340579,1.2137562941934363,780
0,-1.7379864010410415,2.4625155577517392,1.2199504322396381,785
0,-1.742228246739785,2.464328900734002,1.2133199420298963,790
0,-1.7461910993060314,2.4614980980245122,1.2199504322396381,795
0,-1.745461161061428,2.459478997130725,1.2137562941934363,800
0,-1.7465039215624074,2.461208882530203,1.2137562941934363,805
0,-1.7465734369333745,2.4630270169360013,1.2137562941934363,810
0,-1.7489368111237695,2.4601089590218063,1.2230475012419623,815
0,-1.7412895576420624,2.462055871586091,1.2199504322396381,820
0,-1.741741524737506,2.46038775021303,1.2261445702304394,825
0,-1.744626912243234,2.460480720083404,1.2230475012419623,830
0,-1.7427844854823888,2.46882551511072,1.2199504322396381,835
0,-1.7446964343503168,2.4608628596152817,1.2164170113754677,840
0,-1.7475466259331256,2.4629392043962696,1.2102228726704751,845
0,-1.7519253714779097,2.4600211991940592,1.2230475012419623,850
0,-1.7508481528690254,2.4598611211703027,1.2168533632234595,855
0,-1.7548439853634931,2.463982823998011,1.2168533632234595,860
0,-1.7458782719977534,2.4611572350187374,1.2199504322396381,865
0,-1.7491800832748936,2.460635669867787,1.2137562941934363,870
0,-1.753211005595631,2.4657965133639043,1.2106592251495611,875
0,-1.7528982916367113,2.46165825185285,1.2137562941934363,880
0,-1.7561989066231831,2.46453568004767,1.2257082193290926,885
0,-1.7561294257872077,2.4613277368782813,1.2199504322396381,890
0,-1.7559557226067,2.4628979417776015,1.2230475012419623,895
0,-1.7456349583763994,2.470123382813548,1.2261445702304394,900
0,-1.7452178422007591,2.4629133610400075,1.2195140807071898,905
0,-1.7469557670142421,2.462334834334308,1.2226111500250647,910
0,-1.7453568819239535,2.4621282126686883,1.2199504322396381,915
0,-1.7409418834697021,2.4617356399876717,1.2199504322396381,920
0,-1.74327118128042,2.4592827840777857,1.2137562941934363,925
0,-1.7450788014795648,2.464065418532742,1.2137562941934363,930
0,-1.7405942030573555,2.461988719706953,1.2164170113754677,935
0,-1.7402117473962448,2.4620765228420955,1.2137562941934363,940
0,-1.7467472242691997,2.46066663668454,1.2137562941934363,945
0,-1.7493190945609171,2.462407165500445,1.2199504322396381,950
0,-1.7472338205151913,2.4632078298909054,1.2199504322396381,955
0,-1.7434102349768068,2.4653416810644395,1.2137562941934363,960
0,-1.7435492876749663,2.464762938492465,1.2199504322396381,965
0,-1.7456349583763994,2.4639775927079683,1.2230475012419623,970
0,-1.742854014202237,2.4630011625265,1.2199504322396381,975
0,-1.7426801919348236,2.4643805717585376,1.2106592251495611,980
